Dataset,Field,Compressor,Node,Rank,Cores,REL Error Bound,I/O Method,Iteration,Compression Runtime (s),I/O Runtime (s),Compression Energy (J),I/O Energy (J),Compressed Data Size
nyx,temperature.f32,QoZ,4,6,256,1.000000e-03,HDF5,6,4.953187e+00,5.177594e-02,1.467622e+03,1.330075e+01,1243160
nyx,temperature.f32,QoZ,5,6,256,1.000000e-03,HDF5,6,4.953216e+00,5.178246e-02,1.488796e+03,1.315011e+01,1243160
nyx,temperature.f32,QoZ,5,6,256,1.000000e-03,HDF5,7,4.953216e+00,6.092668e-02,1.488796e+03,1.578689e+01,1243160
nyx,temperature.f32,QoZ,2,5,256,1.000000e-03,HDF5,8,4.953237e+00,5.713934e-02,1.490259e+03,1.473281e+01,1243160
nyx,temperature.f32,QoZ,4,6,256,1.000000e-03,HDF5,9,4.953187e+00,5.622487e-02,1.467622e+03,1.393154e+01,1243160
nyx,temperature.f32,QoZ,2,5,256,1.000000e-03,NetCDF,0,4.953237e+00,7.442957e-02,1.490259e+03,1.968116e+01,1243160
nyx,temperature.f32,QoZ,0,5,256,1.000000e-03,NetCDF,1,4.953221e+00,6.112734e-02,1.480549e+03,1.625228e+01,1243160
nyx,temperature.f32,QoZ,5,6,256,1.000000e-03,NetCDF,1,4.953216e+00,6.112744e-02,1.488796e+03,1.609322e+01,1243160
nyx,temperature.f32,QoZ,1,5,256,1.000000e-03,NetCDF,2,4.953220e+00,5.242246e-02,1.497872e+03,1.353799e+01,1243160
nyx,temperature.f32,QoZ,5,6,256,1.000000e-03,NetCDF,2,4.953216e+00,5.242480e-02,1.488796e+03,1.294558e+01,1243160
nyx,temperature.f32,QoZ,2,5,256,1.000000e-03,NetCDF,2,4.953237e+00,5.242471e-02,1.490259e+03,1.353311e+01,1243160
nyx,temperature.f32,QoZ,4,6,256,1.000000e-03,NetCDF,3,4.953187e+00,5.676716e-02,1.467622e+03,1.396829e+01,1243160
nyx,temperature.f32,QoZ,0,5,256,1.000000e-03,NetCDF,4,4.953221e+00,6.041742e-02,1.480549e+03,1.653847e+01,1243160
nyx,temperature.f32,QoZ,1,5,256,1.000000e-03,NetCDF,4,4.953220e+00,6.041641e-02,1.497872e+03,1.544228e+01,1243160
nyx,temperature.f32,QoZ,3,5,256,1.000000e-03,NetCDF,5,4.953244e+00,7.461297e-02,1.489899e+03,2.011183e+01,1243160
nyx,temperature.f32,QoZ,1,5,256,1.000000e-03,NetCDF,5,4.953220e+00,7.461166e-02,1.497872e+03,1.693801e+01,1243160
nyx,temperature.f32,QoZ,4,6,256,1.000000e-03,NetCDF,5,4.953187e+00,7.461180e-02,1.467622e+03,2.005451e+01,1243160
nyx,temperature.f32,QoZ,5,6,256,1.000000e-03,NetCDF,6,4.953216e+00,6.132740e-02,1.488796e+03,1.612392e+01,1243160
nyx,temperature.f32,QoZ,1,5,256,1.000000e-03,NetCDF,6,4.953220e+00,6.133300e-02,1.497872e+03,1.340243e+01,1243160
nyx,temperature.f32,QoZ,5,6,256,1.000000e-03,NetCDF,7,4.953216e+00,5.881174e-02,1.488796e+03,1.460519e+01,1243160
nyx,temperature.f32,QoZ,1,5,256,1.000000e-03,NetCDF,7,4.953220e+00,5.881093e-02,1.497872e+03,1.217575e+01,1243160
